cam_abbr,cam_name,angle,category,url,stored_url
hoteldesbalances,Hotel des Balances,360,Hotels,https://hoteldesbalances.roundshot.com/,https://storage2.roundshot.com/5b7abf8c98c207.21044267
bellevue,Bellevue,360,Hotels,https://bellevue.roundshot.com/,https://storage.roundshot.com/53a0470748e768.32694332
belvederegrindelwald,Belvedere Grindelwald,360,Hotels,https://belvederegrindelwald.roundshot.com/,https://storage2.roundshot.com/56dffea8826120.23800639
belvedere,Belvedère - Scuol,315,Hotels,https://belvedere.roundshot.com/,https://storage2.roundshot.com/53ce5956663437.97348915
buergenstock,Bürgenstock Resort,360,Hotels,https://buergenstock.roundshot.com/,https://storage.roundshot.com/53a8348147a752.77568194
crestapalace,CRESTA PALACE - Celerina,360,Hotels,https://crestapalace.roundshot.com/,https://storage.roundshot.com/56c729bb5096f4.46498272
casaberno,Casa Berno Hotel,200,Hotels,https://casaberno.roundshot.com/,https://storage2.roundshot.com/5b9912a9a0b415.27138200
castello-seeschloss,Castello Seeschloss Hotel,360,Hotels,https://castello-seeschloss.roundshot.com/,https://storage2.roundshot.com/5beee273957954.04213862
hoteledelweiss,Edelweiss,360,Hotels,https://hoteledelweiss.roundshot.com/,https://storage.roundshot.com/53a9860b3a5780.45862775
florensresort,Florens Lake Resort & Spa,260,Hotels,https://florensresort.roundshot.com/,https://storage2.roundshot.com/5c4b331cc31ec6.62142760
hofmaranhotel,Hof Maran Golf -und Sporthotel,360,Hotels,https://hofmaranhotel.roundshot.com/,https://storage2.roundshot.com/5bc5fba2c46374.64956739
huusgstaad,Huus Hotel Gstaad,185,Hotels,https://huusgstaad.roundshot.com/,https://storage2.roundshot.com/582c2692c86f40.73389854
kirchbuehl,Kirchbühl Grindelwald,360,Hotels,https://kirchbuehl.roundshot.com/,https://storage.roundshot.com/53a9904e274b39.54073038
lejdastaz,Lej da Staz,360,Hotels,https://lejdastaz.roundshot.com/,https://storage.roundshot.com/5babae586c0576.03042438
maerchenhotel,Märchenhotel Braunwald,360,Hotels,https://maerchenhotel.roundshot.com/,https://storage.roundshot.com/5bbb6b8a460304.77540343
oeschinensee_berghotel,Berghotel,220,Hotels,https://oeschinensee.roundshot.com/berghotel/,https://storage.roundshot.com/5b9a547a834406.74167457
oeschinensee_rodelbahn,Rodelbahn,360,Hotels,https://oeschinensee.roundshot.com/rodelbahn/,https://storage.roundshot.com/5bc72c6323ddd0.70011779
palacegstaad,Palace Gstaad,360,Hotels,https://palacegstaad.roundshot.com/,https://storage2.roundshot.com/53a97aadc548e7.20618519
refugederborence,Refuge du Lac de Derborence,360,Hotels,https://refugederborence.roundshot.com/,https://storage2.roundshot.com/5bd0416a59f375.93812809
romantikhotelhornberg,Romantik Hotel Hornberg,360,Hotels,https://romantikhotelhornberg.roundshot.com/,https://storage.roundshot.com/5baa1a03a16ed1.21510177
uetliberg,Uetliberg,315,Hotels,https://uetliberg.roundshot.com/,https://storage2.roundshot.com/53aacd05e65407.10715840
